名前	地震	楽天	芸人	サッカー	スポーツ	ホリエモン	ディズニー	ライブ	報道	日常
渡部陽一	0	0	0	0	0.00016	0	0.00016	0	0.99968	0
楽天市場	0	0.795044	0	0.00084	0	0	0	0.00126	0	0.202856
GACKT	0	0.011208	0	0.011208	0.001245	0.033624	0.002491	0	0.001245	0.938979
糸井 重里	0.010568	0.004844	0.000881	0.001761	0.501101	0.002202	0	0	0.011889	0.466755
益若つばさ	0	0.001124	0	0	0	0.347948	0	0.000562	0	0.650365
音楽ニュースサイト ナタリー 	0	0	0.000824	0.017298	0.002471	0	0.541186	0.001647	0	0.436573
Haruka Nakagawa	0.020958	0.008982	0	0.008982	0.04491	0.001497	0.008982	0.407186	0.01497	0.483533
大竹一樹	0	0	0.026144	0.006536	0.003268	0.281046	0.03268	0.013072	0	0.637255
杉田智和と近所の医者	0.001024	0.009212	0	0.001024	0.021494	0	0	0.425793	0	0.541453
らっこフェスティバル	0	0.431589	0	0.000918	0.001837	0	0.000918	0.000918	0.001837	0.561983
東京ディズニーリゾートPR【公式】	0.000317	0	0	0	0	0.000317	0.620482	0	0.000317	0.378567
朝日新聞	0.015489	0	0	0.820322	0.001239	0	0	0.001239	0.089839	0.071871
だからこそ@神戸	0.000412	0.002058	0	0	0	0	0	0.000412	0.000412	0.996708
笑ってはいけない	0.001526	0.602593	0.012967	0	0	0.000763	0	0.001526	0.001526	0.3791
藤森慎吾	0	0	0.002479	0.001653	0	0	0	0.509091	0.000826	0.48595
田中将大	0	0	0	0	0.585347	0	0	0.003118	0	0.411535
tenki.jp地震情報	0.999171	0	0	0	0.000276	0	0.000552	0	0	0
ふなっしー	0.005754	0.002301	0.003452	0.001151	0	0.001151	0.417722	0	0.005754	0.562716
バカリズム	0	0.00056	0	0.00056	0	0.0028	0	0	0	0.996081
日本経済新聞	0.005165	0.001291	0.001291	0.898644	0	0.001291	0	0	0.079406	0.012912
香川真司	0	0	0	0.005618	0.353933	0.001873	0	0.013109	0.007491	0.617978
ayumi hamasaki	0.001385	0.006925	0	0.001385	0.006925	0	0.004848	0.002078	0	0.976454
西川貴教	0	0.001053	0.010526	0.002105	0.002105	0.001053	0	0.318947	0.007368	0.656842
堀江貴文	0.000943	0	0	0.0033	0	0.711457	0	0	0.0033	0.281
パズル＆ドラゴンズ公式 	0.012961	0.012961	0	0.427717	0	0	0	0	0.002991	0.54337
NHKニュース	0.073029	0	0	0.877178	0	0.00083	0	0	0.048963	0
首相官邸（災害情報）	0.898532	0	0.000216	0.000432	0.000432	0	0	0	0.08247	0.017919
宮川大輔	0.001689	0	0.4375	0	0.005068	0	0.000563	0.000563	0	0.554617
徳井義実	0	0	0.008567	0	0.003115	0	0.000779	0.461059	0	0.52648
前田敦子	0.003015	0.001005	0.00201	0	0.032161	0.003015	0.046231	0.00201	0.001005	0.909548
ダルビッシュ有	0	0	0.001776	0.000888	0.539076	0.000888	0	0.000888	0	0.456483
三村マサカズ	0	0.085664	0.013112	0.007867	0.006119	0.002622	0.002622	0.001748	0.006119	0.874126
橋下徹	0	0.006505	0.516854	0	0.003548	0	0	0.001183	0	0.47191
田村淳	0.000591	0	0.521585	0	0	0.001774	0.000591	0	0	0.475458
tenki.jp	0.078347	0.000206	0.000617	0	0	0	0	0.000206	0.920419	0.000206
宮迫	0	0.000262	0.828129	0	0.000262	0	0	0.00105	0.000525	0.169772
ベッキー	0	0.009717	0.034452	0.006184	0.007067	0	0.015018	0	0	0.927562
ガチャピン	0	0.001236	0.017305	0	0.478368	0	0.002472	0.012361	0	0.488257
TwitterJP	0.041096	0	0	0	0.704195	0	0.000428	0	0.002997	0.251284
地震速報	0.999671	0	0	0	0	0	0	0	0.000329	0
板野友美	0.003741	0.002494	0.003741	0.007481	0	0	0	0	0.001247	0.981297
松本人志	0.001447	0.009407	0	0	0	0.401592	0.005065	0.000724	0.000724	0.581042
吉高由里子	0	0	0	0.001452	0.001452	0.005324	0.000968	0	0.005808	0.984995
小嶋陽菜	0.00411	0.065753	0.00274	0	0.009589	0.00411	0.006849	0.00274	0.00137	0.90274
宇多田ヒカル	0	0	0	0.004654	0.256649	0	0	0.003989	0	0.734707
篠田麻里子	0.001214	0.015777	0.014563	0.012136	0	0.001214	0.050971	0.01699	0	0.887136
ROLA	0	0	0.005298	0.006623	0	0.001325	0	0	0	0.986755
孫正義	0	0	0.001325	0	0	0	0.001325	0	0.002649	0.994702
きゃりーぱみゅぱみゅ	0.002649	0	0	0	0.002649	0	0	0	0	0.994702
有吉弘行	0	0.561111	0.001667	0	0	0.002222	0	0.000556	0.007778	0.426667
